"","GEOID","NAME","zero_nine","ten_nineteen","twenty_thirtyfour","thirtyfive_fiftyfour","fiftyfive_sixtyfour","sixtyfive_more"
"63","25025981201","Census Tract 9812.01; Suffolk County; Massachusetts",0,0,0,0,0,0
"64","25025981202","Census Tract 9812.02; Suffolk County; Massachusetts",2,1,3,0,0,0
"65","25025981300","Census Tract 9813; Suffolk County; Massachusetts",2,11,37,12,9,8
"66","25025981501","Census Tract 9815.01; Suffolk County; Massachusetts",0,2,2,1,7,1
"67","25025981502","Census Tract 9815.02; Suffolk County; Massachusetts",3,0,0,3,0,1
"68","25025981600","Census Tract 9816; Suffolk County; Massachusetts",0,1,1,0,0,0
"69","25025981700","Census Tract 9817; Suffolk County; Massachusetts",0,2,1,0,1,0
"70","25025981800","Census Tract 9818; Suffolk County; Massachusetts",3,1,5,5,5,4
"71","25025981900","Census Tract 9819; Suffolk County; Massachusetts",0,0,0,0,0,0
"72","25025990101","Census Tract 9901.01; Suffolk County; Massachusetts",0,0,0,0,0,0
"73","25025170502","Census Tract 1705.02; Suffolk County; Massachusetts",249,283,654,847,483,891
"74","25025170302","Census Tract 1703.02; Suffolk County; Massachusetts",475,324,1371,1080,413,388
"75","25025170400","Census Tract 1704; Suffolk County; Massachusetts",685,777,1167,1626,690,816
"76","25025170503","Census Tract 1705.03; Suffolk County; Massachusetts",169,157,363,413,281,315
"77","25025170504","Census Tract 1705.04; Suffolk County; Massachusetts",311,244,1084,863,356,299
"78","25025170601","Census Tract 1706.01; Suffolk County; Massachusetts",730,739,1376,1777,764,861
"79","25025170701","Census Tract 1707.01; Suffolk County; Massachusetts",262,227,874,703,343,293
"80","25025170702","Census Tract 1707.02; Suffolk County; Massachusetts",1096,1084,2057,2330,718,710
"81","25025170800","Census Tract 1708; Suffolk County; Massachusetts",576,627,1425,1698,703,744
"82","25025120104","Census Tract 1201.04; Suffolk County; Massachusetts",219,145,849,668,256,236
"83","25025110601","Census Tract 1106.01; Suffolk County; Massachusetts",237,226,304,605,405,862
"84","25025110607","Census Tract 1106.07; Suffolk County; Massachusetts",526,365,1075,1418,681,1211
"85","25025120103","Census Tract 1201.03; Suffolk County; Massachusetts",169,124,341,429,250,329
"86","25025120105","Census Tract 1201.05; Suffolk County; Massachusetts",219,232,331,567,360,783
"87","25025120201","Census Tract 1202.01; Suffolk County; Massachusetts",379,243,1870,1087,363,418
"88","25025120301","Census Tract 1203.01; Suffolk County; Massachusetts",495,359,1992,1235,456,583
"89","25025120400","Census Tract 1204; Suffolk County; Massachusetts",496,281,1875,1663,676,1015
