"YEAR","GEOID","NAME","num_home_purchase","num_home_refi","num_home_improv","vol_home_purchase","vol_home_refi","vol_home_improv"
2019,"North End","North End",108,111,16,120325681,98495788,3464346
2019,"Roslindale","Roslindale",376,500,84,206914640,214163087,16221590
2019,"Roxbury","Roxbury",262,334,40,186765307,222187341,11081109
2019,"South Boston","South Boston",810,728,64,735505852,475337665,14791765
2019,"South Boston Waterfront","South Boston Waterfront",109,48,4,154368808,41330506,1131254
2019,"South End","South End",420,434,40,479125695,374324360,12215361
2019,"West End","West End",54,32,9,39126437,15053033,990180
2019,"West Roxbury","West Roxbury",346,636,116,257275227,281096790,19952423
2020,"Allston","Allston",66,169,10,62513126,139196479,3415300
2020,"Back Bay","Back Bay",176,385,15,277693814,357271560,7095564
2020,"Beacon Hill","Beacon Hill",118,259,8,142386212,274352392,2939995
2020,"Brighton","Brighton",280,744,39,258816995,484201147,11459943
2020,"Charlestown","Charlestown",375,961,41,285275614,533897392,11166326
2020,"Chinatown","Chinatown",21,51,3,23411793,42648814,829585
2020,"Dorchester","Dorchester",897,2507,132,595671220,1326158161,31356176
2020,"Downtown","Downtown",90,206,9,90556750,152952437,2729920
2020,"East Boston","East Boston",419,875,32,281374466,508466440,13094285
2020,"Fenway","Fenway",70,210,8,111278803,153987881,27997796
2020,"Hyde Park","Hyde Park",264,953,58,135239761,373825992,8356370
2020,"Jamaica Plain","Jamaica Plain",589,1233,48,389202338,672437368,15120318
2020,"Longwood","Longwood",0,4,0,0,1537844,0
2020,"Mattapan","Mattapan",110,411,25,96205675,178779956,4653107
2020,"Mission Hill","Mission Hill",55,127,10,102418792,103516252,2667302
2020,"North End","North End",132,259,9,124775998,154902666,1794677
2020,"Roslindale","Roslindale",380,1105,57,204716434,486888025,12069249
2020,"Roxbury","Roxbury",249,580,36,229348049,374652513,9317397
2020,"South Boston","South Boston",795,1809,53,640666097,1063660768,14843808
2020,"South Boston Waterfront","South Boston Waterfront",99,132,4,97871913,88551476,845587
2020,"South End","South End",422,857,42,492042068,661977536,16216366
2020,"West End","West End",42,81,5,26753954,45948727,932883
2020,"West Roxbury","West Roxbury",388,1456,81,263491373,699526524,14920474
2021,"Allston","Allston",119,168,8,158216749,126570927,55780753
2021,"Back Bay","Back Bay",239,324,12,332405414,409902776,7084980
2021,"Beacon Hill","Beacon Hill",170,229,15,225909325,250938958,11248484
2021,"Brighton","Brighton",440,682,39,332337066,375576983,7406248
2021,"Charlestown","Charlestown",482,705,37,386152976,452234456,9293635
2021,"Chinatown","Chinatown",33,53,3,28746563,45242716,992773
2021,"Dorchester","Dorchester",1116,2377,172,883635163,1166596936,48201620
2021,"Downtown","Downtown",134,203,8,112602853,162307454,2298450
2021,"East Boston","East Boston",809,818,31,543745173,434516600,7565592
2021,"Fenway","Fenway",140,205,5,106706703,181763203,1085427
2021,"Hyde Park","Hyde Park",320,1020,78,175860853,389241852,12247510
2021,"Jamaica Plain","Jamaica Plain",628,992,77,446503678,518942167,30195257
2021,"Longwood","Longwood",6,4,0,2862073,831621,0
2021,"Mattapan","Mattapan",143,486,45,88124830,188648375,8213608
2021,"Mission Hill","Mission Hill",58,120,5,36278324,120639521,2152990
2021,"North End","North End",161,242,10,154588878,167629736,3971961
2021,"Roslindale","Roslindale",494,974,70,327921491,408673667,13139424
