"YEAR","GEOID","NAME","num_sml_sbus","num_sml_bbus","vol_sml_sbus","vol_sml_bbus"
2001,"Roxbury","Roxbury",192,331,10749876,29469640
2001,"South Boston","South Boston",292,564,14430824,73343469
2001,"South Boston Waterfront","South Boston Waterfront",31,62,1415634,9847126
2001,"South End","South End",299,508,14603339,31192840
2001,"West End","West End",91,123,6327552,13270065
2001,"West Roxbury","West Roxbury",148,282,4353313,12139364
2002,"Allston","Allston",134,397,6193376,20568214
2002,"Back Bay","Back Bay",323,973,24886822,60398052
2002,"Beacon Hill","Beacon Hill",94,169,4720036,9188622
2002,"Brighton","Brighton",213,473,10769883,14157167
2002,"Charlestown","Charlestown",92,321,7838958,13426128
2002,"Chinatown","Chinatown",225,483,16798702,36694480
2002,"Dorchester","Dorchester",282,1060,20841903,39625983
2002,"Downtown","Downtown",469,1027,38309778,86432059
2002,"East Boston","East Boston",105,373,6563379,13043779
2002,"Fenway","Fenway",130,282,8870486,17822322
2002,"Hyde Park","Hyde Park",123,344,10953113,12436772
2002,"Jamaica Plain","Jamaica Plain",171,412,10869692,9932289
2002,"Longwood","Longwood",6,13,317440,925776
2002,"Mattapan","Mattapan",60,168,2881603,3701427
2002,"Mission Hill","Mission Hill",56,114,1814194,3379421
2002,"North End","North End",173,391,17314839,33616835
2002,"Roslindale","Roslindale",113,295,6351234,7490377
2002,"Roxbury","Roxbury",117,457,5866790,24070929
2002,"South Boston","South Boston",235,684,12094820,55492400
2002,"South Boston Waterfront","South Boston Waterfront",24,75,1316665,8179206
2002,"South End","South End",268,597,17047198,33088787
2002,"West End","West End",77,162,4859829,15476925
2002,"West Roxbury","West Roxbury",142,361,7018943,7293908
2003,"Allston","Allston",181,383,11911130,20653870
2003,"Back Bay","Back Bay",320,703,16297345,48822042
2003,"Beacon Hill","Beacon Hill",123,171,11770498,8295789
2003,"Brighton","Brighton",279,456,11640085,11994906
2003,"Charlestown","Charlestown",123,277,7115473,15831253
2003,"Chinatown","Chinatown",167,350,10366008,20648990
2003,"Dorchester","Dorchester",412,998,21653437,32273356
2003,"Downtown","Downtown",607,1272,39235294,83499101
2003,"East Boston","East Boston",178,352,10527655,11924344
2003,"Fenway","Fenway",156,293,11666640,10693095
2003,"Hyde Park","Hyde Park",151,358,5962844,16465198
2003,"Jamaica Plain","Jamaica Plain",250,478,11322597,12319404
2003,"Longwood","Longwood",6,15,100848,1039851
2003,"Mattapan","Mattapan",71,158,1836844,2461653
2003,"Mission Hill","Mission Hill",60,109,2010514,3395520
2003,"North End","North End",207,401,14452275,25214172
2003,"Roslindale","Roslindale",135,283,5081700,5790956
2003,"Roxbury","Roxbury",174,399,8625756,16964375
2003,"South Boston","South Boston",285,681,11955960,41867662
2003,"South Boston Waterfront","South Boston Waterfront",30,88,1493923,6911428
2003,"South End","South End",298,595,11639559,32295272
2003,"West End","West End",90,155,4390041,8407200
2003,"West Roxbury","West Roxbury",184,327,7328635,5863545
2004,"Allston","Allston",194,397,10924013,18425446
2004,"Back Bay","Back Bay",310,702,20465757,60275438
2004,"Beacon Hill","Beacon Hill",97,182,6842155,6975548
2004,"Brighton","Brighton",258,514,14879762,16064810
2004,"Charlestown","Charlestown",151,276,8770154,17792875
2004,"Chinatown","Chinatown",147,366,8786478,29912104
2004,"Dorchester","Dorchester",395,1014,18045443,37248360
2004,"Downtown","Downtown",554,1354,37230253,110555901
2004,"East Boston","East Boston",168,366,12169750,11684758
2004,"Fenway","Fenway",113,323,4471849,13104097
2004,"Hyde Park","Hyde Park",152,381,8845135,15258474
2004,"Jamaica Plain","Jamaica Plain",241,453,8463450,16134230
2004,"Longwood","Longwood",3,13,427853,182274
2004,"Mattapan","Mattapan",75,137,3354092,2442939
2004,"Mission Hill","Mission Hill",57,117,2724353,2403884
2004,"North End","North End",199,428,15448717,30413629
2004,"Roslindale","Roslindale",140,336,6581458,6085151
2004,"Roxbury","Roxbury",146,403,9267924,19504822
2004,"South Boston","South Boston",261,680,10640383,59631323
2004,"South Boston Waterfront","South Boston Waterfront",25,85,1148191,10641466
2004,"South End","South End",300,698,13286697,39240114
2004,"West End","West End",72,175,4112790,9043152
2004,"West Roxbury","West Roxbury",192,371,9385304,11920281
2005,"Allston","Allston",269,322,10579804,14813150
2005,"Back Bay","Back Bay",402,462,25212966,31611000
2005,"Beacon Hill","Beacon Hill",127,142,3268667,6567749
2005,"Brighton","Brighton",406,421,11169619,15215202
2005,"Charlestown","Charlestown",165,190,9905040,13540935
2005,"Chinatown","Chinatown",174,248,8004076,19445053
2005,"Dorchester","Dorchester",611,849,24949191,30076311
2005,"Downtown","Downtown",652,862,30696257,79904982
2005,"East Boston","East Boston",224,273,5973898,7429155
2005,"Fenway","Fenway",211,193,6095294,7567037
2005,"Hyde Park","Hyde Park",236,271,6778698,10337579
2005,"Jamaica Plain","Jamaica Plain",343,330,8629803,10605684
2005,"Longwood","Longwood",8,10,68620,494065
2005,"Mattapan","Mattapan",109,129,3009786,2519186
2005,"Mission Hill","Mission Hill",95,73,1868148,1768034
2005,"North End","North End",238,284,10890809,30386652
2005,"Roslindale","Roslindale",253,257,5204809,5338862
2005,"Roxbury","Roxbury",200,332,7094785,18560945
2005,"South Boston","South Boston",325,491,12658178,46885893
2005,"South Boston Waterfront","South Boston Waterfront",29,60,1563175,7712472
2005,"South End","South End",372,427,14616476,26347255
2005,"West End","West End",90,137,3333194,9005450
2005,"West Roxbury","West Roxbury",291,305,7399180,7830812
2006,"Allston","Allston",333,635,8252841,18465923
2006,"Back Bay","Back Bay",570,1482,23704925,70444006
