GEOID,NAME,YEAR,SUMMARY_VALUE,MOE
25025060301,Census Tract 603.01,2014,83015,14567
25025060501,Census Tract 605.01,2014,99563,13777
25025061101,Census Tract 611.01,2014,16710,2473
25025070101,Census Tract 701.01,2014,90268,20538
25025070402,Census Tract 704.02,2014,13693,2817
25025071101,Census Tract 711.01,2014,42551,8253
25025080401,Census Tract 804.01,2014,19034,5626
25025981600,Census Tract 9816,2014,NA,NA
25025981700,Census Tract 9817,2014,NA,NA
25025981800,Census Tract 9818,2014,NA,NA
25025990101,Census Tract 9901.01,2014,NA,NA
25025081001,Census Tract 810.01,2014,22170,6295
25025071201,Census Tract 712.01,2014,44239,11303
25025080601,Census Tract 806.01,2014,16832,7093
25025080801,Census Tract 808.01,2014,24903,3989
25025090901,Census Tract 909.01,2014,24726,4971
25025091001,Census Tract 910.01,2014,66250,16241
25025092101,Census Tract 921.01,2014,50690,6677
25025100603,Census Tract 1006.03,2014,76553,8561
25025110103,Census Tract 1101.03,2014,68429,7297
25025110201,Census Tract 1102.01,2014,46341,5279
25025110301,Census Tract 1103.01,2014,74469,10814
25025110403,Census Tract 1104.03,2014,67031,20800
25025120103,Census Tract 1201.03,2014,129875,30719
25025120105,Census Tract 1201.05,2014,155417,16421
25025120201,Census Tract 1202.01,2014,54513,11708
25025110607,Census Tract 1106.07,2014,81076,20965
25025120104,Census Tract 1201.04,2014,71477,17435
25025120301,Census Tract 1203.01,2014,76375,23084
25025130404,Census Tract 1304.04,2014,72564,24800
25025130406,Census Tract 1304.06,2014,40968,9183
25025140106,Census Tract 1401.06,2014,30625,10087
25025140107,Census Tract 1401.07,2014,63621,5080
25025080100,Census Tract 801,2014,27318,8890
25025120400,Census Tract 1204,2014,80513,9068
25025120700,Census Tract 1207,2014,82321,8683
25025140201,Census Tract 1402.01,2014,76976,7062
25025000402,Census Tract 4.02,2014,54186,8711
25025000601,Census Tract 6.01,2014,53796,8381
25025030200,Census Tract 302,2014,72554,9488
25025030500,Census Tract 305,2014,103250,10707
25025040200,Census Tract 402,2014,47527,19287
25025050200,Census Tract 502,2014,52448,7015
25025050300,Census Tract 503,2014,15054,5902
25025050600,Census Tract 506,2014,46429,15987
25025070300,Census Tract 703,2014,122540,34669
25025070500,Census Tract 705,2014,97500,31390
25025070800,Census Tract 708,2014,96155,16508
25025080900,Census Tract 809,2014,51583,8475
25025081400,Census Tract 814,2014,43688,5513
25025081800,Census Tract 818,2014,25852,5877
25025090300,Census Tract 903,2014,24271,7961
25025092300,Census Tract 923,2014,36917,15234
25025160400,Census Tract 1604,2014,38429,8408
25025160200,Census Tract 1602,2014,52268,4260
25025170400,Census Tract 1704,2014,47642,7047
25025000502,Census Tract 5.02,2014,36667,16911
25025040600,Census Tract 406,2014,136875,34327
25025051200,Census Tract 512,2014,61016,14298
25025060800,Census Tract 608,2014,90761,14253
25025070200,Census Tract 702,2014,19532,3043
25025082000,Census Tract 820,2014,26276,17172
25025070600,Census Tract 706,2014,105391,17769
25025081300,Census Tract 813,2014,21634,3665
25025081900,Census Tract 819,2014,30985,17814
25025091100,Census Tract 911,2014,61506,19370
25025100400,Census Tract 1004,2014,52485,21126
25025000302,Census Tract 3.02,2014,70362,10715
25025000701,Census Tract 7.01,2014,40565,6186
25025000503,Census Tract 5.03,2014,44167,19339
25025000504,Census Tract 5.04,2014,35962,15621
25025000703,Census Tract 7.03,2014,21219,5474
25025000704,Census Tract 7.04,2014,49417,10995
25025000803,Census Tract 8.03,2014,31683,9106
25025010103,Census Tract 101.03,2014,28690,8433
25025010104,Census Tract 101.04,2014,47204,10817
25025010204,Census Tract 102.04,2014,29821,6374
25025070700,Census Tract 707,2014,76765,32598
25025010500,Census Tract 105,2014,40771,11264
25025030400,Census Tract 304,2014,67367,15059
25025050500,Census Tract 505,2014,47869,6807
25025081200,Census Tract 812,2014,20741,6334
25025081700,Census Tract 817,2014,27787,8257
25025091900,Census Tract 919,2014,39464,17873
25025100200,Census Tract 1002,2014,36762,6756
25025101002,Census Tract 1010.02,2014,27715,10993
25025110502,Census Tract 1105.02,2014,77083,18478
25025110601,Census Tract 1106.01,2014,95556,16862
25025130402,Census Tract 1304.02,2014,71875,20192
25025140400,Census Tract 1404,2014,58690,7845
25025000201,Census Tract 2.01,2014,65446,12131
25025000100,Census Tract 1,2014,53015,17685
25025000202,Census Tract 2.02,2014,52083,12339
25025000301,Census Tract 3.01,2014,78250,14444
25025000802,Census Tract 8.02,2014,31198,12645
25025010600,Census Tract 106,2014,85726,29241
25025040100,Census Tract 401,2014,124622,26274
25025040300,Census Tract 403,2014,116830,15783
25025050400,Census Tract 504,2014,53065,4400
25025051000,Census Tract 510,2014,52170,10222
25025010404,Census Tract 104.04,2014,20172,15741
25025010405,Census Tract 104.05,2014,13488,3036
25025010203,Census Tract 102.03,2014,32228,16774
25025010408,Census Tract 104.08,2014,65000,10399
25025010701,Census Tract 107.01,2014,99307,13283
25025010403,Census Tract 104.03,2014,17009,8474
25025010702,Census Tract 107.02,2014,111923,16507
25025010801,Census Tract 108.01,2014,125417,16658
25025010802,Census Tract 108.02,2014,102773,17053
25025020101,Census Tract 201.01,2014,99456,7150
25025060400,Census Tract 604,2014,95085,13746
25025060700,Census Tract 607,2014,16964,6343
25025081500,Census Tract 815,2014,32524,10283
25025090600,Census Tract 906,2014,40250,11949
25025091500,Census Tract 915,2014,44536,5359
25025170200,Census Tract 1702,2014,48892,13312
25025170800,Census Tract 1708,2014,50139,6362
25025120600,Census Tract 1206,2014,100599,18811
