YEAR,GEOID,ilf_f,ilf_m,nilf_f,nilf_m,NAME
2010,25025110403,1383,1058,805,579,Census Tract 1104.03
2010,25025110501,1030,1089,375,366,Census Tract 1105.01
2010,25025110502,1093,940,506,319,Census Tract 1105.02
2010,25025110601,734,756,612,339,Census Tract 1106.01
2010,25025110607,1541,1281,1147,518,Census Tract 1106.07
2010,25025120103,532,476,119,96,Census Tract 1201.03
2010,25025120104,874,593,190,112,Census Tract 1201.04
2010,25025120105,733,583,571,163,Census Tract 1201.05
2010,25025120201,1308,1537,334,240,Census Tract 1202.01
2010,25025120301,1478,1598,426,335,Census Tract 1203.01
2010,25025120400,2054,1708,617,475,Census Tract 1204
2010,25025120500,820,643,166,377,Census Tract 1205
2010,25025120600,1066,839,173,127,Census Tract 1206
2010,25025120700,617,832,213,268,Census Tract 1207
2010,25025130101,1457,1282,681,448,Census Tract 1301.01
2010,25025130200,1551,1467,552,430,Census Tract 1302
2010,25025130300,1483,1263,564,364,Census Tract 1303
2010,25025130402,1146,1554,644,424,Census Tract 1304.02
2010,25025130404,878,688,643,262,Census Tract 1304.04
2010,25025130406,1380,1318,498,383,Census Tract 1304.06
2010,25025140102,1384,1058,475,386,Census Tract 1401.02
2010,25025140105,1286,1008,335,297,Census Tract 1401.05
2010,25025140106,541,403,437,185,Census Tract 1401.06
2010,25025140107,755,775,277,279,Census Tract 1401.07
2010,25025140201,711,722,199,161,Census Tract 1402.01
2010,25025140202,1518,1513,895,511,Census Tract 1402.02
2010,25025140300,1800,1796,1071,408,Census Tract 1403
2010,25025140400,2511,2162,1115,780,Census Tract 1404
2010,25025980101,,,,,Census Tract 9801.01
2010,25025980300,,,,,Census Tract 9803
2010,25025980700,,,,,Census Tract 9807
2010,25025980900,,,,,Census Tract 9809
2010,25025981000,,,,,Census Tract 9810
2010,25025981100,,,,,Census Tract 9811
2010,25025981201,,,,,Census Tract 9812.01
2010,25025981202,,,,,Census Tract 9812.02
2010,25025981300,,,,,Census Tract 9813
2010,25025981501,,,,,Census Tract 9815.01
2010,25025981502,,,,,Census Tract 9815.02
2010,25025981600,,,,,Census Tract 9816
2010,25025981700,,,,,Census Tract 9817
2010,25025981800,,,,,Census Tract 9818
2010,25025981900,,,,,Census Tract 9819
2020,25025000101,738,694,245,178,Census Tract 1.01
2020,25025000102,1647,1021,423,426,Census Tract 1.02
2020,25025000201,1672,1531,302,211,Census Tract 2.01
2020,25025000202,1259,1283,595,248,Census Tract 2.02
2020,25025000301,967,1124,326,190,Census Tract 3.01
2020,25025000302,1038,1524,280,244,Census Tract 3.02
2020,25025000401,1902,1934,1062,391,Census Tract 4.01
2020,25025000402,1181,1388,541,578,Census Tract 4.02
2020,25025000502,1737,1360,1144,1170,Census Tract 5.02
2020,25025000503,869,741,132,322,Census Tract 5.03
2020,25025000505,941,607,314,417,Census Tract 5.05
2020,25025000506,1013,856,427,387,Census Tract 5.06
2020,25025000601,1480,1513,420,309,Census Tract 6.01
2020,25025000603,328,406,394,190,Census Tract 6.03
2020,25025000604,789,774,294,364,Census Tract 6.04
2020,25025000701,1866,2086,314,293,Census Tract 7.01
2020,25025000703,536,819,328,236,Census Tract 7.03
2020,25025000704,1692,1270,707,319,Census Tract 7.04
2020,25025000804,1040,1145,529,619,Census Tract 8.04
2020,25025000805,1033,1053,318,734,Census Tract 8.05
2020,25025000806,414,565,831,753,Census Tract 8.06
2020,25025000807,965,704,1123,731,Census Tract 8.07
2020,25025010103,1008,634,971,1026,Census Tract 101.03
2020,25025010104,1649,1277,1168,819,Census Tract 101.04
2020,25025010204,1227,796,781,902,Census Tract 102.04
2020,25025010205,1229,1236,460,648,Census Tract 102.05
2020,25025010206,704,686,159,417,Census Tract 102.06
2020,25025010300,1863,991,1604,979,Census Tract 103
2020,25025010403,790,960,459,476,Census Tract 104.03
2020,25025010404,1387,1022,1304,1271,Census Tract 104.04
2020,25025010405,1869,1527,1364,1245,Census Tract 104.05
2020,25025010408,567,426,216,140,Census Tract 104.08
2020,25025010500,747,955,886,688,Census Tract 105
2020,25025010600,970,1131,745,426,Census Tract 106
2020,25025010701,824,802,317,176,Census Tract 107.01
2020,25025010702,1092,782,357,245,Census Tract 107.02
2020,25025010801,935,877,666,349,Census Tract 108.01
2020,25025010802,1190,1457,349,228,Census Tract 108.02
2020,25025020101,1297,1851,968,254,Census Tract 201.01
2020,25025020200,1514,1284,234,192,Census Tract 202
2020,25025020301,693,955,310,244,Census Tract 203.01
2020,25025020302,325,450,88,32,Census Tract 203.02
2020,25025020304,389,403,68,236,Census Tract 203.04
2020,25025020305,837,944,451,865,Census Tract 203.05
2020,25025030100,953,788,238,187,Census Tract 301
2020,25025030200,741,700,114,85,Census Tract 302
2020,25025030301,353,461,454,263,Census Tract 303.01
2020,25025030302,803,847,349,413,Census Tract 303.02
2020,25025030400,1637,1474,395,274,Census Tract 304
2020,25025030500,954,991,215,127,Census Tract 305
2020,25025040100,801,802,324,163,Census Tract 401
2020,25025040200,577,423,201,160,Census Tract 402
2020,25025040300,1535,1564,406,254,Census Tract 403
2020,25025040401,968,793,409,316,Census Tract 404.01
2020,25025040600,1232,1444,209,148,Census Tract 406
2020,25025040801,1407,1206,735,458,Census Tract 408.01
2020,25025050101,1356,1894,657,316,Census Tract 501.01
2020,25025050200,1599,1924,594,293,Census Tract 502
2020,25025050300,803,768,517,558,Census Tract 503
2020,25025050400,659,951,226,256,Census Tract 504
2020,25025050500,706,931,258,85,Census Tract 505
2020,25025050600,798,1108,156,93,Census Tract 506
