"YEAR","GEOID","NAME","num_sml_sbus","num_sml_bbus","vol_sml_sbus","vol_sml_bbus"
2009,"25025101002","Census Tract 1010.02",3,24,96884,3253132
2009,"25025101101","Census Tract 1011.01",2,12,22587,45306
2009,"25025101102","Census Tract 1011.02",11,20,783263,510349
2009,"25025110104","Census Tract 1101.04",3,10,44024,99588
2009,"25025110105","Census Tract 1101.05",3,10,37645,101893
2009,"25025110106","Census Tract 1101.06",1,6,20475,55419
2009,"25025110201","Census Tract 1102.01",6,9,712460,188783
2009,"25025110301","Census Tract 1103.01",4,17,1073760,231505
2009,"25025110401","Census Tract 1104.01",9,16,92791,129634
2009,"25025110403","Census Tract 1104.03",8,32,199227,156925
2009,"25025110501","Census Tract 1105.01",2,25,425745,290653
2009,"25025110502","Census Tract 1105.02",17,40,545828,525359
2009,"25025110601","Census Tract 1106.01",6,28,49124,203321
2009,"25025110607","Census Tract 1106.07",21,51,595522,485538
2009,"25025120103","Census Tract 1201.03",6,25,202737,1030257
2009,"25025120104","Census Tract 1201.04",2,9,26778,83012
2009,"25025120105","Census Tract 1201.05",9,38,298573,1516255
2009,"25025120201","Census Tract 1202.01",6,32,259000,1502629
2009,"25025120301","Census Tract 1203.01",7,46,121905,1060309
2009,"25025120400","Census Tract 1204",31,64,862407,1536504
2009,"25025120500","Census Tract 1205",1,9,5458,68228
2009,"25025120600","Census Tract 1206",7,13,113259,962021
2009,"25025120700","Census Tract 1207",6,17,93290,195754
2009,"25025130101","Census Tract 1301.01",18,64,268820,570390
2009,"25025130200","Census Tract 1302",21,73,1805325,523994
2009,"25025130300","Census Tract 1303",12,54,406642,349330
2009,"25025130402","Census Tract 1304.02",13,53,740961,4181039
2009,"25025130404","Census Tract 1304.04",6,19,504939,281051
2009,"25025130406","Census Tract 1304.06",12,35,941504,524044
2009,"25025140102","Census Tract 1401.02",16,51,560838,1611556
2009,"25025140105","Census Tract 1401.05",7,21,858646,78831
2009,"25025140106","Census Tract 1401.06",3,11,132245,45397
2009,"25025140107","Census Tract 1401.07",3,11,138972,47707
2009,"25025140201","Census Tract 1402.01",3,25,10917,447579
2009,"25025140202","Census Tract 1402.02",9,35,43666,405277
