"GEOID","NAME","ilf_m","ilf_f","nilf_m","nilf_f","YEAR"
"South Boston","South Boston",13599.8346183,16893.6176458,3083.1000034,4048.6386608,2020
"South Boston Waterfront","South Boston Waterfront",2622.883875,2580.592158,218.748495,465.222083,2020
"South End","South End",10504.3162524,10139.1850443,4013.0346374,6205.7667343,2020
"West End","West End",2672.6580102,3335.8237696,1229.6355766,1111.1544951,2020
"West Roxbury","West Roxbury",8497.7080853,11611.6905617,3308.6539202,5430.9068423,2020
"Allston","Allston",10301.076891,10620.625168,5017.728694,5574.281819,2024
"Back Bay","Back Bay",6671.644058,6113.308732,2495.897162,3800.205668,2024
"Beacon Hill","Beacon Hill",3530.75504,3617.810295,618.835592,1504.43677,2024
"Brighton","Brighton",19363.276045,20996.1860386,7153.8668543,7588.7477689,2024
"Charlestown","Charlestown",7528.071724,7926.811877,1451.26371,2362.40459,2024
"Chinatown","Chinatown",1943.792621,2056.20792,1140.041021,1196.801546,2024
"Dorchester","Dorchester",41309.2443364,42126.3561345,16412.4142126,22357.9342243,2024
"Downtown","Downtown",4375.908067,4537.791439,3423.829095,3489.652053,2024
"East Boston","East Boston",18869.495573,16611.134366,4393.146036,6342.836757,2024
"Fenway","Fenway",10478.01029,13915.961931,8829.653692,8444.996337,2024
"Hyde Park","Hyde Park",10382.3845437,12014.2180361,5074.9309333,5765.9115328,2024
"Jamaica Plain","Jamaica Plain",15082.1240599,16241.749869,4537.9207935,6903.0146276,2024
"Longwood","Longwood",857.687322,2158.159253,1109.86864,1425.736047,2024
"Mattapan","Mattapan",8127.0993609,9167.380014,2614.9453433,4212.563304,2024
"Mission Hill","Mission Hill",5170.982817,6161.507144,4070.719838,3625.398928,2024
"North End","North End",4163.631208,4686.741702,730.393361,1093.061455,2024
"Roslindale","Roslindale",10423.001554,10936.901155,2966.356536,4929.691387,2024
"Roxbury","Roxbury",15200.5145904,18243.350143,10769.7882974,12338.2726606,2024
"South Boston","South Boston",15670.888411,17248.594977,3608.52293,4136.585764,2024
"South Boston Waterfront","South Boston Waterfront",3729.98791119,3264.724743,329.926774,581.130483,2024
"South End","South End",12647.516998,10781.441953,4719.389057,6681.490173,2024
"West End","West End",3360.541014,3517.407382,1224.176967,1186.845433,2024
"West Roxbury","West Roxbury",10398.956641,11462.094727,3922.012159,5370.197187,2024
