YEAR,GEOID,native,foreign,NAME
1970,25025981600,,,Census Tract 9816
1970,25025981700,,,Census Tract 9817
1970,25025981800,,,Census Tract 9818
1970,25025981900,,,Census Tract 9819
1980,25025000101,1446,314,Census Tract 1.01
1980,25025000102,1702,369,Census Tract 1.02
1980,25025000201,3066,685,Census Tract 2.01
1980,25025000202,3255,681,Census Tract 2.02
1980,25025000301,2527,638,Census Tract 3.01
1980,25025000302,2503,633,Census Tract 3.02
1980,25025000401,4477,1449,Census Tract 4.01
1980,25025000402,2770,896,Census Tract 4.02
1980,25025000502,3869,579,Census Tract 5.02
1980,25025000503,1662,249,Census Tract 5.03
1980,25025000505,1459,218,Census Tract 5.05
1980,25025000506,1946,291,Census Tract 5.06
1980,25025000601,2525,856,Census Tract 6.01
1980,25025000603,1455,266,Census Tract 6.03
1980,25025000604,2376,434,Census Tract 6.04
1980,25025000701,3208,700,Census Tract 7.01
1980,25025000703,1606,474,Census Tract 7.03
1980,25025000704,3245,959,Census Tract 7.04
1980,25025000804,2240,589,Census Tract 8.04
1980,25025000805,2767,728,Census Tract 8.05
1980,25025000806,1304,343,Census Tract 8.06
1980,25025000807,1191,313,Census Tract 8.07
1980,25025010103,2894,389,Census Tract 101.03
1980,25025010104,4025,548,Census Tract 101.04
1980,25025010204,2210,535,Census Tract 102.04
1980,25025010205,1718,416,Census Tract 102.05
1980,25025010206,1271,308,Census Tract 102.06
1980,25025010300,2913,192,Census Tract 103
1980,25025010403,2252,503,Census Tract 104.03
1980,25025010404,2952,660,Census Tract 104.04
1980,25025010405,3845,860,Census Tract 104.05
1980,25025010408,989,239,Census Tract 104.08
1980,25025010500,2423,253,Census Tract 105
1980,25025010600,1840,294,Census Tract 106
1980,25025010701,2925,358,Census Tract 107.01
1980,25025010702,2809,344,Census Tract 107.02
1980,25025010801,3107,365,Census Tract 108.01
1980,25025010802,3238,380,Census Tract 108.02
1980,25025020101,4793,478,Census Tract 201.01
1980,25025020200,3369,399,Census Tract 202
1980,25025020301,2063,313,Census Tract 203.01
1980,25025020302,1302,200,Census Tract 203.02
1980,25025020304,120,18,Census Tract 203.04
1980,25025020305,1593,244,Census Tract 203.05
1980,25025030100,1686,401,Census Tract 301
1980,25025030200,1090,334,Census Tract 302
1980,25025030301,890,78,Census Tract 303.01
1980,25025030302,902,85,Census Tract 303.02
1980,25025030400,2921,627,Census Tract 304
1980,25025030500,1795,540,Census Tract 305
1980,25025040100,1335,60,Census Tract 401
1980,25025040200,1111,97,Census Tract 402
1980,25025040300,3869,148,Census Tract 403
1980,25025040401,2408,302,Census Tract 404.01
1980,25025040600,2287,135,Census Tract 406
1980,25025040801,1509,103,Census Tract 408.01
1980,25025050101,3472,465,Census Tract 501.01
1980,25025050200,2887,705,Census Tract 502
1980,25025050300,1448,220,Census Tract 503
1980,25025050400,1382,362,Census Tract 504
1980,25025050500,962,533,Census Tract 505
1980,25025050600,1182,233,Census Tract 506
1980,25025050700,2466,675,Census Tract 507
1980,25025050901,2969,357,Census Tract 509.01
1980,25025051000,3772,358,Census Tract 510
1980,25025051101,4580,727,Census Tract 511.01
1980,25025051200,2105,318,Census Tract 512
1980,25025060101,3256,273,Census Tract 601.01
1980,25025060200,2223,169,Census Tract 602
1980,25025060301,3282,226,Census Tract 603.01
1980,25025060400,5094,434,Census Tract 604
1980,25025060501,2858,207,Census Tract 605.01
1980,25025060601,507,29,Census Tract 606.01
1980,25025060602,35,2,Census Tract 606.02
1980,25025060603,22,1,Census Tract 606.03
1980,25025060604,73,4,Census Tract 606.04
1980,25025060700,1838,53,Census Tract 607
1980,25025060800,2736,336,Census Tract 608
1980,25025061000,2890,104,Census Tract 610
1980,25025061101,1804,208,Census Tract 611.01
1980,25025061201,1033,246,Census Tract 612.01
1980,25025061202,,,Census Tract 612.02
1980,25025061203,275,24,Census Tract 612.03
1980,25025061204,53,5,Census Tract 612.04
1980,25025070102,507,282,Census Tract 701.02
1980,25025070103,34,19,Census Tract 701.03
1980,25025070104,193,107,Census Tract 701.04
1980,25025070201,536,803,Census Tract 702.01
1980,25025070202,1405,1624,Census Tract 702.02
1980,25025070301,1672,324,Census Tract 703.01
1980,25025070302,1019,218,Census Tract 703.02
1980,25025070402,778,962,Census Tract 704.02
1980,25025070501,1365,545,Census Tract 705.01
1980,25025070502,2467,984,Census Tract 705.02
1980,25025070600,2225,420,Census Tract 706
1980,25025070700,1358,237,Census Tract 707
1980,25025070801,662,61,Census Tract 708.01
1980,25025070802,1850,169,Census Tract 708.02
1980,25025070901,988,62,Census Tract 709.01
1980,25025070902,1667,105,Census Tract 709.02
1980,25025071101,2251,583,Census Tract 711.01
1980,25025071201,1038,91,Census Tract 712.01
1980,25025080100,1411,456,Census Tract 801
1980,25025080300,2053,276,Census Tract 803
1980,25025080401,2534,295,Census Tract 804.01
1980,25025080500,2646,310,Census Tract 805
1980,25025080601,1343,48,Census Tract 806.01
1980,25025080801,3130,369,Census Tract 808.01
1980,25025080900,2412,630,Census Tract 809
1980,25025081001,3637,1100,Census Tract 810.01
1980,25025081101,692,198,Census Tract 811.01
1980,25025081102,1498,402,Census Tract 811.02
1980,25025081200,3685,365,Census Tract 812
1980,25025081301,1425,283,Census Tract 813.01
1980,25025081302,1991,395,Census Tract 813.02
1980,25025081400,2316,166,Census Tract 814
1980,25025081500,2283,150,Census Tract 815
1980,25025081700,3393,183,Census Tract 817
1980,25025081800,2348,239,Census Tract 818
1980,25025081900,3002,210,Census Tract 819
1980,25025082000,3022,428,Census Tract 820
1980,25025082100,5329,376,Census Tract 821
1980,25025090100,4167,544,Census Tract 901
1980,25025090200,1920,174,Census Tract 902
1980,25025090300,2985,287,Census Tract 903
1980,25025090400,2353,345,Census Tract 904
1980,25025090600,1338,646,Census Tract 906
1980,25025090700,3341,733,Census Tract 907
1980,25025090901,1358,40,Census Tract 909.01
1980,25025091001,2148,368,Census Tract 910.01
1980,25025091100,3881,828,Census Tract 911
1980,25025091200,2667,522,Census Tract 912
1980,25025091300,1686,654,Census Tract 913
1980,25025091400,1830,590,Census Tract 914
1980,25025091500,3289,1303,Census Tract 915
1980,25025091600,2129,226,Census Tract 916
1980,25025091700,2045,1133,Census Tract 917
1980,25025091800,2725,626,Census Tract 918
1980,25025091900,3105,328,Census Tract 919
1980,25025092000,3959,1322,Census Tract 920
1980,25025092101,4854,566,Census Tract 921.01
1980,25025092200,2905,541,Census Tract 922
1980,25025092300,2451,436,Census Tract 923
1980,25025092400,5051,687,Census Tract 924
1980,25025100100,3693,572,Census Tract 1001
1980,25025100200,2219,360,Census Tract 1002
1980,25025100300,2745,712,Census Tract 1003
1980,25025100400,3917,1100,Census Tract 1004
1980,25025100500,4662,909,Census Tract 1005
1980,25025100601,4779,607,Census Tract 1006.01
1980,25025100603,2168,145,Census Tract 1006.03
1980,25025100700,4391,592,Census Tract 1007
1980,25025100800,4883,593,Census Tract 1008
1980,25025100900,3381,626,Census Tract 1009
1980,25025101001,4612,1041,Census Tract 1010.01
1980,25025101002,4671,1029,Census Tract 1010.02
1980,25025101101,2825,405,Census Tract 1011.01
1980,25025101102,3340,853,Census Tract 1011.02
1980,25025110104,1479,337,Census Tract 1101.04
1980,25025110105,1665,373,Census Tract 1101.05
1980,25025110106,970,217,Census Tract 1101.06
1980,25025110201,1426,227,Census Tract 1102.01
1980,25025110301,2020,234,Census Tract 1103.01
1980,25025110401,2665,541,Census Tract 1104.01
1980,25025110403,3566,668,Census Tract 1104.03
1980,25025110501,3122,743,Census Tract 1105.01
1980,25025110502,3086,885,Census Tract 1105.02
1980,25025110601,2279,277,Census Tract 1106.01
1980,25025110607,4758,1386,Census Tract 1106.07
1980,25025120103,1354,216,Census Tract 1201.03
1980,25025120104,2026,323,Census Tract 1201.04
1980,25025120105,2184,349,Census Tract 1201.05
