"YEAR","GEOID","NAME","num_home_purchase","num_home_refi","num_home_improv","vol_home_purchase","vol_home_refi","vol_home_improv"
2007,"25025100900","Census Tract 1009",69,71,19,20759758,23661720,2389602
2007,"25025101001","Census Tract 1010.01",29,96,17,9969144,30909568,2172237
2007,"25025101002","Census Tract 1010.02",24,59,11,9033346,20375840,1178569
2007,"25025101101","Census Tract 1011.01",31,45,8,10952592,16604787,995133
2007,"25025101102","Census Tract 1011.02",28,51,8,9360805,19763266,1827841
2007,"25025110104","Census Tract 1101.04",32,27,6,10719433,9498062,1249280
2007,"25025110105","Census Tract 1101.05",34,29,6,11408071,10141258,1355594
2007,"25025110106","Census Tract 1101.06",19,16,3,6204789,5515776,737300
2007,"25025110201","Census Tract 1102.01",15,22,9,5093065,7417578,1094046
2007,"25025110301","Census Tract 1103.01",18,44,11,6551483,13910999,835420
2007,"25025110401","Census Tract 1104.01",51,51,19,14484405,17685598,1977456
2007,"25025110403","Census Tract 1104.03",73,71,26,22861422,24830410,2151065
2007,"25025110501","Census Tract 1105.01",47,35,14,17929780,12289585,1607653
2007,"25025110502","Census Tract 1105.02",71,58,8,21654624,20813394,1274548
2007,"25025110601","Census Tract 1106.01",49,37,15,20145772,14426536,1834898
2007,"25025110607","Census Tract 1106.07",73,67,17,29582576,24511792,2106005
2007,"25025120103","Census Tract 1201.03",29,22,7,15757490,10917163,1234795
2007,"25025120104","Census Tract 1201.04",43,15,6,13554146,4034252,810174
2007,"25025120105","Census Tract 1201.05",43,33,10,23426168,16127529,1830901
2007,"25025120201","Census Tract 1202.01",84,48,8,25377270,15632343,1596329
2007,"25025120301","Census Tract 1203.01",90,63,13,29453292,25037512,1507615
2007,"25025120400","Census Tract 1204",150,83,9,59875556,34054304,1376174
2007,"25025120500","Census Tract 1205",34,27,4,12398267,11431417,965439
2007,"25025120600","Census Tract 1206",31,32,8,11542922,12883809,996491
2007,"25025120700","Census Tract 1207",59,45,2,19584581,15842926,184100
2007,"25025130101","Census Tract 1301.01",94,80,21,35724060,26781048,4111584
2007,"25025130200","Census Tract 1302",66,87,19,28409872,32555332,1949226
2007,"25025130300","Census Tract 1303",81,70,23,31186216,26248926,5112309
2007,"25025130402","Census Tract 1304.02",80,74,15,30637156,23733704,1956284
2007,"25025130404","Census Tract 1304.04",24,36,7,8601047,12335427,803638
2007,"25025130406","Census Tract 1304.06",46,66,13,16037404,23000482,1498453
2007,"25025140102","Census Tract 1401.02",63,84,15,22327890,28488914,1621768
2007,"25025140105","Census Tract 1401.05",37,69,14,11874798,22491449,2140997
2007,"25025140106","Census Tract 1401.06",24,25,8,8177394,8832757,1028299
2007,"25025140107","Census Tract 1401.07",25,26,9,8593394,9282097,1080611
2007,"25025140201","Census Tract 1402.01",27,33,8,8566152,9734842,1374762
2007,"25025140202","Census Tract 1402.02",64,91,22,25490972,34720512,3507479
2007,"25025140300","Census Tract 1403",58,113,18,16480210,40947876,7583776
2007,"25025140400","Census Tract 1404",84,185,33,23056204,56009568,4464449
2007,"25025980300","Census Tract 9803",,,,,,
2007,"25025980700","Census Tract 9807",,,,,,
2007,"25025980900","Census Tract 9809",,,,,,
2007,"25025981000","Census Tract 9810",,,,,,
2007,"25025981100","Census Tract 9811",3,2,0,842176,748656,0
2007,"25025981201","Census Tract 9812.01",,,,,,
2007,"25025981202","Census Tract 9812.02",,,,,,
2007,"25025981300","Census Tract 9813",,,,,,
2007,"25025981501","Census Tract 9815.01",,,,,,
2007,"25025981502","Census Tract 9815.02",,,,,,
2007,"25025981600","Census Tract 9816",,,,,,
2007,"25025981700","Census Tract 9817",,,,,,
2007,"25025981800","Census Tract 9818",,,,,,
2007,"25025981900","Census Tract 9819",,,,,,
2008,"25025000101","Census Tract 1.01",8,16,3,3610196,7710106,301410
2008,"25025000102","Census Tract 1.02",9,19,3,4416297,9431654,368710
2008,"25025000201","Census Tract 2.01",22,30,4,11030480,26149646,265058
2008,"25025000202","Census Tract 2.02",12,28,6,5379993,11667978,693228
2008,"25025000301","Census Tract 3.01",8,31,2,3383224,11428746,251465
2008,"25025000302","Census Tract 3.02",30,32,1,11382531,12392469,33982
2008,"25025000401","Census Tract 4.01",35,39,2,11299615,19610194,974597
2008,"25025000402","Census Tract 4.02",38,34,2,17855376,23243524,27185
2008,"25025000502","Census Tract 5.02",20,20,0,5513201,6055550,0
2008,"25025000503","Census Tract 5.03",26,26,1,7319965,8057912,293751
2008,"25025000505","Census Tract 5.05",21,20,1,5756670,6337017,231016
2008,"25025000506","Census Tract 5.06",28,28,2,7822149,8610723,313903
2008,"25025000601","Census Tract 6.01",54,33,4,30685530,14082042,4705795
2008,"25025000603","Census Tract 6.03",5,4,0,1172358,2265778,0
2008,"25025000604","Census Tract 6.04",6,5,1,1411615,2728182,18564
2008,"25025000701","Census Tract 7.01",35,29,3,14556427,8378543,445841
2008,"25025000703","Census Tract 7.03",9,11,0,6879705,10400176,0
2008,"25025000704","Census Tract 7.04",18,21,0,13767612,20812752,0
2008,"25025000804","Census Tract 8.04",24,16,2,6423364,23135610,418336
2008,"25025000805","Census Tract 8.05",29,19,2,7998497,28808910,520920
2008,"25025000806","Census Tract 8.06",0,1,0,0,474630,0
2008,"25025000807","Census Tract 8.07",0,1,0,0,471423,0
2008,"25025010103","Census Tract 101.03",2,1,0,538271,205250,0
2008,"25025010104","Census Tract 101.04",42,36,1,23747814,17337494,566816
2008,"25025010204","Census Tract 102.04",22,12,0,8322813,4404036,0
2008,"25025010205","Census Tract 102.05",19,11,0,6436253,4837249,0
2008,"25025010206","Census Tract 102.06",12,7,0,4209574,3228283,0
2008,"25025010300","Census Tract 103",4,6,0,1184387,1721526,0
2008,"25025010403","Census Tract 104.03",11,12,0,7352634,6710034,0
2008,"25025010404","Census Tract 104.04",25,25,1,16116531,14707990,56006
2008,"25025010405","Census Tract 104.05",9,7,1,4725308,9672557,134509
2008,"25025010408","Census Tract 104.08",11,6,0,3536318,2657765,0
2008,"25025010500","Census Tract 105",11,26,1,7234038,18136746,326225
2008,"25025010600","Census Tract 106",33,20,1,55749120,9865585,1177128
2008,"25025010701","Census Tract 107.01",35,42,2,31142862,38099068,3256542
2008,"25025010702","Census Tract 107.02",40,47,3,35632656,43591724,3726030
2008,"25025010801","Census Tract 108.01",58,59,2,48637392,43736044,799423
2008,"25025010802","Census Tract 108.02",58,58,2,47872172,43047940,786846
2008,"25025020101","Census Tract 201.01",70,60,5,72242504,68530336,6067784
2008,"25025020200","Census Tract 202",69,31,4,40985212,18682792,1581261
2008,"25025020301","Census Tract 203.01",25,22,1,12823728,11151190,199905
2008,"25025020302","Census Tract 203.02",16,15,0,8241754,7436581,0
2008,"25025020304","Census Tract 203.04",2,2,0,903385,815130,0
2008,"25025020305","Census Tract 203.05",34,32,1,17469876,15763166,240555
2008,"25025030100","Census Tract 301",15,21,2,12313631,10928534,347973
2008,"25025030200","Census Tract 302",17,27,1,9675287,11460009,135927
2008,"25025030301","Census Tract 303.01",15,18,2,10733863,8586474,2001608
2008,"25025030302","Census Tract 303.02",18,22,2,12757079,10204930,2378889
2008,"25025030400","Census Tract 304",42,62,4,25608311,26732540,3172049
2008,"25025030500","Census Tract 305",71,52,4,64407672,24442402,458074
2008,"25025040100","Census Tract 401",64,58,4,32318014,31346136,988190
2008,"25025040200","Census Tract 402",27,18,0,11087569,8324172,0
2008,"25025040300","Census Tract 403",115,113,8,50854384,50215528,2380083
2008,"25025040401","Census Tract 404.01",36,51,4,23133424,22207760,589923
2008,"25025040600","Census Tract 406",63,58,6,26870058,24383952,1860841
2008,"25025040801","Census Tract 408.01",26,36,2,13176768,32250050,581768
2008,"25025050101","Census Tract 501.01",42,27,1,7579292,9543438,202531
2008,"25025050200","Census Tract 502",52,32,8,12947051,10537065,822359
2008,"25025050300","Census Tract 503",4,9,1,882167,2518728,13593
2008,"25025050400","Census Tract 504",17,12,3,5108139,5110857,188939
2008,"25025050500","Census Tract 505",5,14,0,2329790,3353320,0
2008,"25025050600","Census Tract 506",14,11,0,4917841,3138556,0
2008,"25025050700","Census Tract 507",41,19,4,10262492,7311516,527397
2008,"25025050901","Census Tract 509.01",28,17,4,8010181,5559416,250106
2008,"25025051000","Census Tract 510",20,27,6,5920982,5988946,1136350
2008,"25025051101","Census Tract 511.01",39,42,5,12005077,14385159,333021
2008,"25025051200","Census Tract 512",45,33,2,14478949,9438774,141364
2008,"25025060101","Census Tract 601.01",51,65,4,20232740,25627686,413218
2008,"25025060200","Census Tract 602",29,43,2,13546489,18514622,598079
2008,"25025060301","Census Tract 603.01",40,69,1,15825986,27598628,33982
2008,"25025060400","Census Tract 604",99,115,8,41385708,43629864,1873075
2008,"25025060501","Census Tract 605.01",74,96,1,27744070,37521300,801970
2008,"25025060601","Census Tract 606.01",57,40,1,22995480,14859085,106484
2008,"25025060602","Census Tract 606.02",4,2,0,1447600,935402,0
2008,"25025060604","Census Tract 606.04",16,11,0,6378377,4121542,0
2008,"25025060800","Census Tract 608",100,83,10,37091772,30323964,1757537
2008,"25025061000","Census Tract 610",35,19,1,11999640,6800430,13593
2008,"25025061101","Census Tract 611.01",2,1,0,1552287,407781,0
2008,"25025061201","Census Tract 612.01",79,69,0,34218608,31697814,0
2008,"25025061202","Census Tract 612.02",,,,,,
2008,"25025061203","Census Tract 612.03",21,18,0,8935282,8277043,0
2008,"25025061204","Census Tract 612.04",4,4,0,1775435,1644643,0
2008,"25025070102","Census Tract 701.02",54,46,1,37905932,37445676,293016
2008,"25025070104","Census Tract 701.04",23,20,0,16041866,15677676,0
2008,"25025070201","Census Tract 702.01",2,2,0,1094029,2476751,0
2008,"25025070202","Census Tract 702.02",31,27,0,21462307,22710924,0
2008,"25025070301","Census Tract 703.01",65,68,2,42820928,47697916,780095
2008,"25025070302","Census Tract 703.02",46,48,1,30374424,33833844,553349
2008,"25025070501","Census Tract 705.01",51,41,1,30729360,22530712,563513
2008,"25025070502","Census Tract 705.02",90,73,2,54438448,39914172,998289
2008,"25025070600","Census Tract 706",52,50,3,43421896,37808108,740802
2008,"25025070700","Census Tract 707",81,38,0,52976208,22094942,0
2008,"25025070801","Census Tract 708.01",21,20,2,12823286,10278318,480377
2008,"25025070802","Census Tract 708.02",54,53,4,32859076,26337712,1230944
2008,"25025070901","Census Tract 709.01",20,18,1,10992989,9564390,297534
2008,"25025070902","Census Tract 709.02",43,39,2,23157324,20147904,626770
2008,"25025071101","Census Tract 711.01",125,55,0,42409240,24927660,0
2008,"25025071201","Census Tract 712.01",61,73,3,27165020,40772676,1352474
2008,"25025080100","Census Tract 801",7,8,0,1975020,2906120,0
2008,"25025080300","Census Tract 803",12,7,0,3176615,2647859,0
2008,"25025080401","Census Tract 804.01",9,7,0,3709306,2916505,0
2008,"25025080500","Census Tract 805",3,6,1,1177271,2660582,172200
2008,"25025080601","Census Tract 806.01",3,8,0,1311696,3346524,0
2008,"25025080801","Census Tract 808.01",2,2,0,497030,722442,0
2008,"25025080900","Census Tract 809",9,12,0,7543951,6500032,0
2008,"25025081001","Census Tract 810.01",19,20,0,11937113,15104213,0
2008,"25025081101","Census Tract 811.01",11,11,1,4006153,6357146,370639
2008,"25025081102","Census Tract 811.02",25,24,1,9055078,14369011,837753
2008,"25025081200","Census Tract 812",5,9,0,1848265,2865819,0
2008,"25025081301","Census Tract 813.01",9,6,0,2414472,2175584,0
2008,"25025081302","Census Tract 813.02",10,7,1,2970958,2677011,130476
2008,"25025081400","Census Tract 814",20,19,7,8022414,7302001,891681
2008,"25025081500","Census Tract 815",24,15,1,5770103,4678609,12233
2008,"25025081700","Census Tract 817",14,15,4,4670454,4365977,576331
2008,"25025081800","Census Tract 818",18,15,5,4417629,4119949,347973
2008,"25025081900","Census Tract 819",17,11,1,4609286,2563584,33982
2008,"25025082000","Census Tract 820",14,11,3,3792365,3932370,195735
2008,"25025082100","Census Tract 821",12,10,3,4398599,3687701,96508
2008,"25025090100","Census Tract 901",9,13,2,3122244,5568931,85634
2008,"25025090200","Census Tract 902",10,4,4,2662811,1160817,99227
2008,"25025090300","Census Tract 903",27,9,4,5865252,2906120,440404
2008,"25025090400","Census Tract 904",24,12,3,5396304,3425362,270495
2008,"25025090600","Census Tract 906",6,5,3,1276355,1420438,217483
2008,"25025090700","Census Tract 907",28,28,3,9595090,12876369,444481
2008,"25025090901","Census Tract 909.01",,,,,,
2008,"25025091001","Census Tract 910.01",25,27,5,9397996,9979764,493415
