YEAR,GEOID,median_nom_R1F,median_nom_RCD,median_adj_R1F,median_adj_RCD,count_R1F,count_RCD,NAME
2001,South End,845750.0,373750.0,1455110.5,643036.0,16.0,460.0,South End
2001,West End,,315000.0,,541957.0,0.0,41.0,West End
2001,West Roxbury,295000.0,185500.0,507547.0,319152.0,259.0,124.0,West Roxbury
2002,Allston,350000.0,197450.0,592802.0,334424.5,17.0,134.0,Allston
2002,Back Bay,1722500.0,440000.0,2917430.5,745236.0,2.0,525.0,Back Bay
2002,Beacon Hill,1500000.0,349900.0,2540578.0,592632.0,15.0,215.0,Beacon Hill
2002,Brighton,365000.0,211250.0,618207.0,357798.0,50.0,444.0,Brighton
2002,Charlestown,442400.0,383000.0,749301.0,648694.5,69.0,376.0,Charlestown
2002,Chinatown,220000.0,422500.0,372618.0,715596.0,1.0,2.0,Chinatown
2002,Dorchester,250000.0,185000.0,423430.0,313338.0,210.0,232.0,Dorchester
2002,Downtown,,525000.0,,889202.0,0.0,253.0,Downtown
2002,East Boston,188750.0,156000.0,319689.5,264220.0,52.0,81.0,East Boston
2002,Fenway,867500.0,267250.0,1469301.0,452646.5,1.0,288.0,Fenway
2002,Hyde Park,260000.0,120000.0,440367.0,203246.0,225.0,43.0,Hyde Park
2002,Jamaica Plain,385000.0,252500.0,652082.0,427664.0,97.0,337.0,Jamaica Plain
2002,Longwood,,206600.0,,349922.5,0.0,14.0,Longwood
2002,Mattapan,212550.0,197500.0,360000.0,334509.0,62.0,19.0,Mattapan
2002,Mission Hill,350000.0,300000.0,592802.0,508116.0,10.0,61.0,Mission Hill
2002,North End,,333750.0,,565278.5,0.0,144.0,North End
2002,Roslindale,300000.0,231500.0,508116.0,392096.0,117.0,121.0,Roslindale
2002,Roxbury,230000.0,262500.0,389555.0,444601.0,44.0,152.0,Roxbury
2002,South Boston,318750.0,270000.0,539873.0,457304.0,74.0,447.0,South Boston
2002,South Boston Waterfront,,411130.0,,696338.5,0.0,18.0,South Boston Waterfront
2002,South End,935000.0,400000.0,1583627.0,677487.0,15.0,678.0,South End
2002,West End,,323750.0,,548341.5,0.0,64.0,West End
2002,West Roxbury,340000.0,197750.0,575864.0,334932.5,292.0,142.0,West Roxbury
2003,Allston,365000.0,225000.0,604432.0,372595.0,18.0,161.0,Allston
2003,Back Bay,2802500.0,475000.0,4640879.0,786590.0,6.0,516.0,Back Bay
2003,Beacon Hill,2250000.0,365000.0,3725951.0,604432.0,27.0,151.0,Beacon Hill
2003,Brighton,380000.0,237000.0,629272.0,392467.0,59.0,483.0,Brighton
2003,Charlestown,467000.0,386500.0,773342.0,640036.0,62.0,270.0,Charlestown
2003,Chinatown,,360000.0,,596152.0,0.0,1.0,Chinatown
2003,Dorchester,310000.0,232500.0,513353.0,385015.0,229.0,278.0,Dorchester
2003,Downtown,2800000.0,595000.0,4636739.0,985307.0,1.0,163.0,Downtown
2003,East Boston,265000.0,168875.0,438834.0,279653.0,48.0,56.0,East Boston
2003,Fenway,,272500.0,,451254.0,0.0,301.0,Fenway
2003,Hyde Park,294000.0,234750.0,486858.0,388741.0,169.0,60.0,Hyde Park
2003,Jamaica Plain,492500.0,290000.0,815569.0,480234.0,72.0,345.0,Jamaica Plain
2003,Longwood,,188750.0,,312566.0,0.0,12.0,Longwood
2003,Mattapan,259500.0,240000.0,429726.0,397435.0,64.0,19.0,Mattapan
2003,Mission Hill,550000.0,320000.0,910788.0,529913.0,7.0,67.0,Mission Hill
2003,North End,470000.0,385000.0,778310.0,637552.0,1.0,131.0,North End
2003,Roslindale,330250.0,262500.0,546887.0,434694.0,158.0,87.0,Roslindale
2003,Roxbury,270000.0,276250.0,447114.0,457464.0,42.0,124.0,Roxbury
2003,South Boston,325000.0,299000.0,538193.0,495138.0,69.0,401.0,South Boston
2003,South Boston Waterfront,,400000.0,,662391.0,0.0,29.0,South Boston Waterfront
2003,South End,1025000.0,415000.0,1697377.5,687231.0,18.0,762.0,South End
2003,West End,,325000.0,,538193.0,0.0,53.0,West End
2003,West Roxbury,360000.0,220000.0,596152.0,364315.0,241.0,121.0,West Roxbury
2004,Allston,394500.0,250000.0,636337.5,403256.0,18.0,208.0,Allston
2004,Back Bay,2875000.0,615000.0,4637440.5,992009.0,8.0,756.0,Back Bay
2004,Beacon Hill,1725000.0,440500.0,2782464.5,710536.5,24.0,254.0,Beacon Hill
2004,Brighton,445500.0,255000.0,718601.5,411321.0,72.0,681.0,Brighton
2004,Charlestown,552250.0,404000.0,890792.0,651661.5,66.0,564.0,Charlestown
2004,Chinatown,,382500.0,,616981.0,0.0,3.0,Chinatown
2004,Dorchester,336750.0,246500.0,543185.0,397610.5,251.0,480.0,Dorchester
2004,Downtown,607500.0,544625.0,979911.5,878492.5,2.0,492.0,Downtown
2004,East Boston,278000.0,219000.0,448420.0,353252.0,66.0,85.0,East Boston
2004,Fenway,912000.0,313000.0,1471077.0,504876.0,5.0,389.0,Fenway
2004,Hyde Park,322500.0,267500.0,520200.0,431483.5,297.0,56.0,Hyde Park
2004,Jamaica Plain,487500.0,312000.0,786348.5,503263.0,106.0,497.0,Jamaica Plain
2004,Longwood,,256500.0,,413740.0,0.0,21.0,Longwood
2004,Mattapan,301250.0,251235.0,485923.0,405248.0,88.0,49.0,Mattapan
2004,Mission Hill,550000.0,320000.0,887163.0,516167.0,11.0,71.0,Mission Hill
2004,North End,625000.0,389500.0,1008139.0,628272.5,1.0,216.0,North End
